iter	Passed	Remaining
406	5072	7390
407	5085	7379
408	5095	7363
409	5107	7350
410	5120	7338
411	5130	7322
412	5142	7308
413	5155	7296
414	5170	7288
415	5185	7279
416	5195	7263
417	5207	7250
418	5220	7238
419	5231	7223
420	5241	7208
421	5255	7198
422	5272	7191
423	5286	7181
424	5300	7170
425	5314	7160
426	5324	7144
427	5336	7131
428	5347	7117
429	5360	7105
430	5372	7092
431	5383	7078
432	5393	7063
433	5405	7049
434	5417	7036
435	5429	7023
436	5439	7007
437	5451	6994
438	5463	6981
439	5476	6970
440	5488	6956
441	5500	6944
442	5511	6929
443	5522	6915
444	5533	6901
445	5545	6888
446	5555	6873
447	5568	6861
448	5581	6849
449	5593	6836
450	5603	6821
451	5614	6807
452	5626	6794
453	5636	6778
454	5647	6764
455	5663	6756
456	5677	6745
457	5687	6731
458	5698	6717
459	5710	6703
460	5720	6688
461	5731	6673
462	5743	6661
463	5753	6646
464	5764	6631
465	5776	6619
466	5789	6607
467	5802	6595
468	5812	6581
469	5824	6567
470	5834	6552
471	5845	6539
472	5857	6526
473	5868	6511
474	5880	6499
475	5895	6490
476	5907	6476
477	5918	6463
478	5928	6448
479	5940	6435
480	5951	6422
481	5961	6407
482	5974	6394
483	5987	6383
484	5998	6369
485	6008	6354
486	6020	6341
487	6030	6326
488	6041	6313
489	6054	6301
490	6066	6289
491	6076	6274
492	6090	6263
493	6104	6252
494	6116	6239
495	6127	6226
496	6139	6213
497	6150	6199
498	6160	6184
499	6171	6171
500	6185	6161
501	6201	6152
502	6213	6139
503	6223	6124
504	6235	6111
505	6247	6098
506	6257	6084
507	6268	6071
508	6280	6058
509	6290	6043
510	6303	6032
511	6316	6020
512	6328	6007
513	6338	5993
514	6350	5980
515	6361	5966
516	6371	5952
517	6383	5939
518	6395	5927
519	6410	5917
520	6422	5904
521	6433	5891
522	6446	5879
523	6459	5867
524	6469	5853
525	6481	5840
526	6493	5827
527	6503	5813
528	6516	5801
529	6529	5790
530	6540	5776
531	6550	5762
532	6561	5749
533	6573	5736
534	6583	5722
535	6596	5710
536	6608	5698
537	6621	5685
538	6632	5672
539	6643	5659
540	6655	5646
541	6665	5632
542	6677	5620
543	6690	5607
544	6700	5593
545	6711	5580
546	6724	5569
547	6737	5557
548	6748	5543
549	6759	5530
550	6771	5518
551	6781	5504
552	6792	5490
553	6804	5477
554	6813	5463
555	6827	5452
556	6841	5441
557	6854	5429
558	6865	5416
559	6877	5403
560	6888	5390
561	6900	5377
562	6910	5364
563	6923	5352
564	6935	5339
565	6948	5328
566	6960	5315
567	6972	5303
568	6985	5290
569	6994	5276
570	7005	5263
571	7019	5252
572	7031	5239
573	7043	5227
574	7056	5215
575	7068	5203
576	7080	5190
577	7089	5176
578	7101	5163
579	7113	5151
580	7123	5137
581	7134	5124
582	7147	5112
583	7159	5100
584	7171	5087
585	7182	5074
586	7194	5061
587	7203	5047
588	7217	5036
589	7233	5026
590	7245	5014
591	7258	5002
592	7270	4989
593	7281	4976
594	7292	4963
595	7302	4950
596	7316	4938
597	7327	4925
598	7337	4912
599	7348	4899
600	7363	4888
601	7378	4878
602	7390	4866
603	7401	4852
604	7414	4840
605	7426	4828
606	7438	4816
607	7448	4802
608	7462	4791
609	7475	4779
610	7486	4766
611	7496	4752
612	7509	4740
613	7520	4727
614	7530	4714
615	7541	4701
616	7552	4688
617	7567	4677
618	7580	4665
619	7591	4653
620	7603	4640
621	7614	4627
622	7628	4616
623	7639	4603
624	7650	4590
625	7665	4579
626	7677	4567
627	7689	4554
